data,precipitacao_mm,temp_media,umidade_media
2003-01-01,7.0,22.8,89.3
2003-01-02,11.2,23.0,89.8
2003-01-03,7.8,22.4,93.1
2003-01-04,52.2,24.1,81.8
2003-01-05,20.8,23.0,87.1
2003-01-06,3.2,24.7,79.4
2003-01-07,1.2,23.9,85.5
2003-01-08,0.4,25.4,81.5
2003-01-09,0.0,26.3,77.3
2003-01-10,0.0,26.5,76.8
2003-01-22,21.8,22.8,85.4
2003-01-23,0.0,24.7,72.2
2003-01-24,0.0,24.5,72.1
2003-01-25,0.0,25.2,67.7
2003-01-26,0.0,24.6,68.3
2003-01-27,0.0,24.2,71.0
2003-01-28,0.0,23.6,77.7
2003-01-29,0.0,23.6,81.8
2003-01-30,26.4,22.7,83.6
2003-01-31,6.4,23.7,73.0
2003-02-01,0.0,24.7,69.4
2003-02-02,21.6,24.5,73.6
2003-02-03,0.0,23.8,73.2
2003-02-04,0.0,23.9,73.7
2003-02-05,0.0,24.3,70.5
2003-02-06,0.0,24.1,70.2
2003-02-07,0.0,25.0,67.6
2003-02-08,0.0,24.8,65.3
2003-02-09,0.0,25.1,64.4
2003-02-10,0.0,24.2,62.6
2003-02-11,0.0,23.7,69.7
2003-02-12,0.0,24.3,66.3
2003-02-13,0.0,24.5,56.8
2003-02-14,0.0,23.9,63.5
2003-02-15,0.0,24.2,71.3
2003-02-16,0.0,23.4,75.5
2003-02-17,1.4,25.3,75.1
2003-02-18,0.0,23.7,77.5
2003-02-19,0.2,24.3,77.1
2003-02-20,0.2,24.6,71.9
2003-02-21,0.0,24.8,72.5
2003-02-22,0.0,24.9,65.8
2003-02-23,0.0,25.8,61.2
2003-02-24,0.0,25.1,63.0
2003-02-25,0.0,25.0,60.7
2003-02-26,0.0,25.2,62.8
2003-02-27,0.0,26.2,62.1
2003-02-28,0.0,26.3,62.9
2003-03-01,0.0,26.1,64.7
2003-03-02,0.0,25.8,65.9
2003-03-03,0.0,24.6,71.2
2003-03-04,12.2,24.4,71.9
2003-03-05,0.0,24.6,71.4
2003-03-06,0.4,25.1,62.8
2003-03-07,0.0,24.7,64.6
2003-03-08,0.0,24.9,66.2
2003-03-09,0.0,24.8,64.4
2003-03-10,0.0,24.2,71.0
2003-03-11,0.0,25.9,66.6
2003-03-12,0.0,25.1,69.7
2003-03-13,6.8,22.6,87.0
2003-03-14,4.4,23.1,87.4
2003-03-15,6.8,25.2,74.5
2003-03-16,0.0,25.4,68.6
2003-03-17,0.0,25.2,67.2
2003-03-18,0.0,26.0,65.1
2003-03-19,0.0,24.3,71.8
2003-03-20,0.0,24.9,68.3
2003-03-21,0.0,24.6,68.8
2003-03-22,0.0,24.8,71.1
2003-03-23,3.2,23.8,78.8
2003-03-24,1.4,23.3,79.9
2003-03-25,1.4,24.6,73.5
2003-03-26,0.0,24.2,71.2
2003-03-27,0.0,24.4,71.0
2003-03-28,0.6,24.3,74.2
2003-03-29,0.0,24.4,70.4
2003-03-30,0.0,23.2,74.6
2003-03-31,0.0,24.4,67.4
2003-04-01,0.0,25.0,62.9
2003-04-02,0.0,25.6,61.2
2003-04-03,0.0,25.0,61.2
2003-04-04,0.0,24.8,60.5
2003-04-05,0.0,24.4,64.8
2003-04-06,0.0,26.1,63.8
2003-04-07,0.0,26.4,69.5
2003-04-08,0.0,24.8,74.1
2003-04-09,0.0,24.7,73.0
2003-04-10,0.0,25.3,70.1
2003-04-11,0.0,26.6,66.6
2003-04-12,3.2,25.2,74.3
2003-04-13,0.0,25.4,71.0
2003-04-14,0.0,23.2,72.8
2003-04-15,0.0,22.9,72.3
2003-04-16,0.0,24.1,68.3
2003-04-17,0.0,24.0,64.2
2003-04-18,0.0,23.7,66.8
2003-04-19,0.0,23.3,67.4
2003-04-20,0.0,23.1,65.3
2003-04-21,0.0,24.0,63.9
2003-04-22,0.0,23.7,63.8
2003-04-23,0.0,24.1,65.6
2003-04-24,0.0,24.0,69.5
2003-04-25,0.0,24.5,63.5
2003-04-26,0.0,23.9,68.5
2003-04-27,0.0,24.1,67.5
2003-04-28,0.0,23.8,60.7
2003-04-29,0.0,23.0,53.5
2003-04-30,0.0,23.9,54.3
2003-05-01,0.0,24.2,59.5
2003-05-02,0.0,24.4,57.3
2003-05-03,0.0,24.6,59.0
2003-05-04,0.0,23.1,62.0
2003-05-05,0.0,22.7,65.8
2003-05-06,0.0,22.6,70.7
2003-05-07,1.8,23.3,76.0
2003-05-08,0.0,22.7,60.3
2003-05-09,0.0,21.5,48.9
2003-05-10,0.0,22.4,61.3
2003-05-11,0.0,20.7,57.8
2003-05-12,0.0,20.7,63.1
2003-05-13,0.0,21.2,64.8
2003-05-14,0.0,21.7,65.1
2003-05-15,0.0,22.9,65.1
2003-05-16,0.0,22.5,59.8
2003-05-17,0.0,21.1,62.8
2003-05-18,0.0,21.9,58.3
2003-05-19,0.0,21.7,63.4
2003-05-20,0.0,22.2,62.8
2003-05-21,0.0,21.8,63.6
2003-05-22,0.0,22.4,59.7
2003-05-23,0.0,22.5,56.7
2003-05-24,0.0,23.0,58.0
2003-05-25,0.0,23.5,66.4
2003-05-26,0.0,23.7,63.8
2003-05-27,0.0,22.9,61.8
2003-05-28,0.0,22.5,69.3
2003-05-29,3.4,21.9,72.8
2003-05-30,0.0,20.6,69.2
2003-05-31,0.0,20.1,67.0
2003-06-01,0.0,20.1,66.2
2003-06-02,0.0,22.2,64.3
2003-06-03,0.0,23.1,66.5
2003-06-04,0.0,23.3,62.5
2003-06-05,0.0,22.2,60.6
2003-06-06,0.0,21.5,62.4
2003-06-07,0.0,21.1,61.6
2003-06-08,0.0,20.8,59.4
2003-06-09,0.0,21.2,60.0
2003-06-10,0.0,21.3,61.1
2003-06-11,0.0,22.6,61.0
2003-06-12,0.0,22.7,61.5
2003-06-13,0.0,22.6,56.5
2003-06-14,0.0,21.8,57.0
2003-06-15,0.0,21.1,57.5
2003-06-16,0.0,20.7,61.6
2003-06-17,0.0,20.0,63.4
2003-06-18,0.0,20.3,57.6
2003-06-19,0.0,19.9,51.2
2003-06-20,0.0,20.0,51.2
2003-06-21,0.0,20.5,52.2
2003-06-22,0.0,20.5,49.7
2003-06-23,0.0,21.0,51.0
2003-06-24,0.0,20.1,53.3
2003-06-25,0.0,20.9,55.8
2003-06-26,0.0,20.7,56.0
2003-06-27,0.0,19.2,55.9
2003-06-28,0.0,19.3,53.5
2003-06-29,0.0,19.0,51.2
2003-06-30,0.0,19.0,51.9
2003-07-01,0.0,18.6,59.8
2003-07-02,0.0,18.5,56.5
2003-07-03,0.0,19.5,50.8
2003-07-04,0.0,18.8,50.2
2003-07-05,0.0,18.5,54.9
2003-07-06,0.0,19.9,54.9
2003-07-07,0.0,20.2,53.1
2003-07-08,0.0,20.2,50.8
2003-07-09,0.0,21.0,54.0
2003-07-10,0.0,21.1,53.1
2003-07-11,0.0,21.9,50.2
2003-07-12,0.0,21.5,55.8
2003-07-13,0.0,20.2,70.3
2003-07-14,0.0,18.7,77.0
2003-07-15,0.0,19.8,59.5
2003-07-16,0.0,19.5,63.2
2003-07-17,0.0,19.0,64.0
2003-07-18,0.0,19.5,58.7
2003-07-19,0.0,19.7,57.2
2003-07-20,0.0,19.7,58.3
2003-07-21,0.0,20.0,52.6
2003-07-22,0.0,21.1,54.3
2003-07-23,0.0,21.2,52.3
2003-07-24,0.0,21.5,60.1
2003-07-25,0.0,22.3,51.9
2003-07-26,0.0,21.5,53.3
2003-07-27,0.0,20.9,54.1
2003-07-28,0.0,22.2,44.0
2003-07-29,0.0,21.4,47.2
2003-07-30,0.0,21.6,56.4
2003-07-31,0.0,21.9,60.3
2003-08-01,0.0,22.4,59.5
2003-08-02,0.0,21.8,55.2
2003-08-03,0.0,20.6,57.8
2003-08-04,0.0,19.7,63.8
2003-08-05,0.0,20.7,58.0
2003-08-06,0.0,21.8,55.3
2003-08-07,0.0,22.4,51.2
2003-08-08,0.0,23.0,48.9
2003-08-09,0.0,22.4,49.2
2003-08-10,0.0,22.0,48.3
2003-08-11,0.0,22.3,50.3
2003-08-12,0.0,21.6,58.7
2003-08-13,0.0,21.7,60.4
2003-08-14,0.0,21.8,55.7
2003-08-15,0.0,22.8,52.0
2003-08-16,0.0,24.6,47.1
2003-08-17,0.0,23.9,47.4
2003-08-18,0.0,20.9,52.2
2003-08-19,0.0,19.8,69.0
2003-08-20,0.0,21.6,53.2
2003-08-21,0.0,20.5,51.0
2003-08-22,0.0,21.6,50.4
2003-08-23,0.0,22.3,59.0
2003-08-24,0.0,23.0,51.0
2003-08-25,0.0,24.4,48.2
